Name,ClassId,TR,EN
signer0_sample1,41,cirkin,ugly
signer0_sample808,41,cirkin,ugly
signer0_sample902,41,cirkin,ugly
signer0_sample970,41,cirkin,ugly
signer0_sample983,41,cirkin,ugly
signer0_sample1137,41,cirkin,ugly
signer2_sample224,41,cirkin,ugly
signer2_sample249,41,cirkin,ugly
signer2_sample761,41,cirkin,ugly
signer2_sample1038,41,cirkin,ugly
signer2_sample1160,41,cirkin,ugly
signer2_sample1242,41,cirkin,ugly
signer3_sample143,41,cirkin,ugly
signer3_sample504,41,cirkin,ugly
signer3_sample606,41,cirkin,ugly
signer4_sample170,41,cirkin,ugly
signer4_sample384,41,cirkin,ugly
signer4_sample525,41,cirkin,ugly
signer5_sample385,41,cirkin,ugly
signer5_sample595,41,cirkin,ugly
signer5_sample643,41,cirkin,ugly
signer7_sample340,41,cirkin,ugly
signer7_sample358,41,cirkin,ugly
signer7_sample835,41,cirkin,ugly
signer7_sample1276,41,cirkin,ugly
signer7_sample1425,41,cirkin,ugly
signer7_sample1627,41,cirkin,ugly
signer7_sample1668,41,cirkin,ugly
signer7_sample2080,41,cirkin,ugly
signer7_sample2101,41,cirkin,ugly
signer7_sample2157,41,cirkin,ugly
signer7_sample2163,41,cirkin,ugly
signer7_sample2244,41,cirkin,ugly
signer8_sample221,41,cirkin,ugly
signer8_sample360,41,cirkin,ugly
signer8_sample763,41,cirkin,ugly
signer8_sample799,41,cirkin,ugly
signer8_sample892,41,cirkin,ugly
signer8_sample944,41,cirkin,ugly
signer8_sample1445,41,cirkin,ugly
signer8_sample1543,41,cirkin,ugly
signer8_sample1938,41,cirkin,ugly
signer8_sample2162,41,cirkin,ugly
signer8_sample2221,41,cirkin,ugly
signer8_sample2298,41,cirkin,ugly
signer9_sample60,41,cirkin,ugly
signer9_sample306,41,cirkin,ugly
signer9_sample482,41,cirkin,ugly
signer10_sample376,41,cirkin,ugly
signer10_sample395,41,cirkin,ugly
signer10_sample558,41,cirkin,ugly
signer12_sample313,41,cirkin,ugly
signer12_sample401,41,cirkin,ugly
