	word	category	matched
0	angle	NN	0
1	attack	NN	0
2	cause	NN	0
3	decrease	NN	0
4	increase	NN	0
5	lowering	VBG	0
6	moving	VBG	1
7	particular	JJ	0
8	pressure	NN	0
9	raising	VBG	0
10	stick	NN	0
11	wing	VBG	0
12	Therefore	RB	0
13	adjusts	NNS	0
14	air	NN	0
15	downhill	NN	0
16	earlier	RBR	0
17	either	DT	0
18	flat	JJ	1
19	going	VBG	1
20	s	NN	0
21	speed	NN	0
22	talked	VBD	0
23	uphill	NN	0
24	actually	RB	0
25	airplane	NN	0
26	feet	NNS	0
27	left	NN	1
28	moved	VBN	1
29	right	NN	1
30	s	NN	0
31	start	NN	1
32	steers	NNS	0
33	stop	NN	0
34	turn	NN	0
35	Bobby	NN	0
36	Buenos	NNS	0
37	Dias	NNS	0
38	Larew	NN	0
39	Spanish	JJ	0
40	know	VB	1
41	m	NN	0
42	n	NN	0
43	spoke	NN	0
44	t	NN	0
45	1	CD	1
46	2	CD	0
47	back	RB	0
48	diving	VBG	0
49	expert	NN	0
50	m	NN	0
51	pike	NN	0
52	talking	VBG	0
53	arms	NNS	0
54	come	VB	0
55	going	VBG	1
56	legs	NNS	0
57	re	NN	0
58	take	VB	0
59	underneath	NN	0
60	actually	RB	0
61	going	VBG	1
62	lock	NN	0
63	m	NN	0
64	pike	NN	0
65	wrists	NNS	0
66	going	VBG	0
67	legs	NNS	0
68	lock	NN	0
69	m	NN	0
70	squeeze	NN	0
71	underneath	NN	0
72	Let	VB	0
73	back	RB	0
74	demonstrate	NN	1
75	easier	JJR	0
76	lot	NN	0
77	s	NN	0
78	like	IN	0
79	look	NN	1
80	ca	MD	0
81	decide	NN	0
82	dive	NN	0
83	get	VB	1
84	know	VB	1
85	middle	NN	0
86	n	NN	0
87	t	NN	0
88	around	IN	0
89	make	VB	1
90	spin	NN	0
91	sure	NN	0
92	way	NN	0
93	Let	VB	0
94	good	JJ	1
95	pike	NN	0
96	position	NN	0
97	show	NN	0
98	aspect	NN	0
99	clip	NN	1
100	covering	VBG	0
101	footwork	NN	0
102	forward	RB	0
103	going	VBG	1
104	moving	VBG	1
105	re	NN	0
106	talking	VBG	1
107	Like	IN	0
108	covered	VBN	0
109	earlier	RBR	0
