Matrices,PSL,ASL,ISL,AUTSL,AUSLAN,AUSLAN2,AUSLAN3,AUSLAN4,AUSLAN5
totalVideos,197,100,49,687,23,22,21,21,31
totalWords,957,548,112,687,242,195,217,230,302
totalNoun,688,280,71,564,119,98,128,114,137
totalConj,0,0,0,0,0,0,0,0,0
totalAdj,104,45,10,30,10,11,7,12,14
totalVerbs,44,130,17,33,43,22,24,26,70
totalAdv,23,49,4,25,12,11,16,10,12
totalPoi,2,4,4,21,0,0,0,1,0
totalMisce,73,40,6,1,11,16,10,24,9
totalWood,67,21,11,65,16,7,17,20,18
totalSwadesh,119,43,10,56,28,20,29,29,50
matchedWords_noSyn,51,33,6,31,12,9,20,29,27
matchedNoun_noSyn,31,15,4,25,10,7,18,20,20
matchedConj_noSyn,0,0,0,0,0,0,0,0,0
matchedAdj_noSyn,14,12,1,6,2,1,1,1,0
matchedVerbs_noSyn,2,2,0,0,0,1,1,3,5
matchedAdv_noSyn,1,1,0,0,0,0,0,0,0
matchedPoi_noSyn,0,0,0,0,0,0,0,0,0
matchedMisce_noSyn,3,3,1,0,0,0,0,5,2
matchedWood_noSyn,14,6,0,3,1,1,3,15,7
matchedSwadesh_noSyn,15,6,0,1,2,2,3,13,17
matchedSentence_noSyn,52,28,7,31,9,7,13,12,17
matchedWords_Syn,85,87,8,33,33,26,38,47,54
matchedNoun_Syn,58,27,5,27,22,16,28,32,27
matchedConj_Syn,0,0,0,0,0,0,0,0,0
matchedAdj_Syn,18,16,1,6,3,2,1,1,2
matchedVerbs_Syn,5,39,1,0,8,6,9,8,22
matchedAdv_Syn,1,1,0,0,0,1,0,1,0
matchedPoi_Syn,0,0,0,0,0,0,0,0,0
matchedMisce_Syn,3,4,1,0,0,1,0,5,3
matchedWood_Syn,18,7,1,3,4,2,4,15,11
matchedSwadesh_Syn,21,11,0,1,11,9,8,16,34
matchedSentence_Syn,69,54,7,33,18,14,17,14,29
matchedWords_Syn_out,167,147,11,47,55,46,58,66,76
matchedNoun_Syn_out,120,52,8,37,32,22,41,44,37
matchedConj_Syn_out,0,0,0,0,0,0,0,0,0
matchedAdj_Syn_out,26,22,1,6,3,4,1,1,2
matchedVerbs_Syn_out,13,65,1,4,19,17,16,15,34
matchedAdv_Syn_out,4,2,0,0,0,2,0,1,0
matchedPoi_Syn_out,0,0,0,0,0,0,0,0,0
matchedMisce_Syn_out,4,6,1,0,1,1,0,5,3
