Matrices,PSL,ASL,ISL,AUTSL,AUSLAN
totalVideos,197,100,49,687,23
totalWords,957,548,112,687,242
totalNoun,688,280,71,564,119
totalConj,0,0,0,0,0
totalAdj,104,45,10,30,10
totalVerbs,44,130,17,33,43
totalAdv,23,49,4,25,12
totalPoi,2,4,4,21,0
totalMisce,73,40,6,1,11
totalWood,67,21,11,65,16
totalSwadesh,119,43,10,56,28
matchedWords_noSyn,51,33,6,31,11
matchedNoun_noSyn,31,15,4,25,9
matchedConj_noSyn,0,0,0,0,0
matchedAdj_noSyn,14,12,1,6,2
matchedVerbs_noSyn,2,2,0,0,0
matchedAdv_noSyn,1,1,0,0,0
matchedPoi_noSyn,0,0,0,0,0
matchedMisce_noSyn,3,3,1,0,0
matchedWood_noSyn,14,6,0,3,0
matchedSwadesh_noSyn,15,6,0,1,2
matchedSentence_noSyn,52,28,7,31,9
matchedWords_Syn,85,84,8,32,29
matchedNoun_Syn,58,24,5,26,18
matchedConj_Syn,0,0,0,0,0
matchedAdj_Syn,18,16,1,6,3
matchedVerbs_Syn,5,39,1,0,8
matchedAdv_Syn,1,1,0,0,0
matchedPoi_Syn,0,0,0,0,0
matchedMisce_Syn,3,4,1,0,0
matchedWood_Syn,18,7,1,3,0
matchedSwadesh_Syn,21,10,0,1,8
matchedSentence_Syn,69,54,7,32,16
matchedWords_Syn_out,167,147,11,47,51
matchedNoun_Syn_out,120,52,8,37,28
matchedConj_Syn_out,0,0,0,0,0
matchedAdj_Syn_out,26,22,1,6,3
matchedVerbs_Syn_out,13,65,1,4,19
matchedAdv_Syn_out,4,2,0,0,0
matchedPoi_Syn_out,0,0,0,0,0
matchedMisce_Syn_out,4,6,1,0,1
matchedWood_Syn_out,23,10,1,3,0
matchedSwadesh_Syn_out,32,17,0,4,10
matchedSentence_Syn_out,101,72,9,47,21
matchedWords_noSyn_percent,5.33,6.02,5.36,4.51,4.55
matchedWords_Syn_percent,8.88,15.33,7.14,4.66,11.98
matchedWords_Syn_out_percent,17.45,26.82,9.82,6.84,21.07
matchedNoun_noSyn_percent,4.51,5.36,5.63,4.43,7.56
matchedNoun_Syn_percent,8.43,8.57,7.04,4.61,15.13
matchedNoun_Syn_out_percent,17.44,18.57,11.27,6.56,23.53
matchedConj_noSyn_percent,100.0,100.0,100.0,100.0,100.0
matchedConj_Syn_percent,100.0,100.0,100.0,100.0,100.0
matchedConj_Syn_out_percent,100.0,100.0,100.0,100.0,100.0
matchedAdj_noSyn_percent,13.46,26.67,10.0,20.0,20.0
matchedAdj_Syn_percent,17.31,35.56,10.0,20.0,30.0
matchedAdj_Syn_out_percent,25.0,48.89,10.0,20.0,30.0
matchedVerbs_noSyn_percent,4.55,1.54,0.0,0.0,0.0
matchedVerbs_Syn_percent,11.36,30.0,5.88,0.0,18.6
matchedVerbs_Syn_out_percent,29.55,50.0,5.88,12.12,44.19
matchedAdv_noSyn_percent,4.35,2.04,0.0,0.0,0.0
matchedAdv_Syn_percent,4.35,2.04,0.0,0.0,0.0
matchedAdv_Syn_out_percent,17.39,4.08,0.0,0.0,0.0
matchedPoi_noSyn_percent,0.0,0.0,0.0,0.0,100.0
matchedPoi_Syn_percent,0.0,0.0,0.0,0.0,100.0
matchedPoi_Syn_out_percent,0.0,0.0,0.0,0.0,100.0
matchedMisce_noSyn_percent,4.11,7.5,16.67,0.0,0.0
matchedMisce_Syn_percent,4.11,10.0,16.67,0.0,0.0
matchedMisce_Syn_out_percent,5.48,15.0,16.67,0.0,9.09
matchedWood_noSyn_percent,20.9,28.57,0.0,4.62,0.0
matchedWood_Syn_percent,26.87,33.33,9.09,4.62,0.0
matchedWood_Syn_out_percent,34.33,47.62,9.09,4.62,0.0
matchedSwadesh_noSyn_percent,12.61,13.95,0.0,1.79,7.14
matchedSwadesh_Syn_percent,17.65,23.26,0.0,1.79,28.57
matchedSwadesh_Syn_out_percent,26.89,39.53,0.0,7.14,35.71
matchedSentence_noSyn_percent,26.4,28.0,14.29,4.51,39.13
matchedSentence_Syn_percent,35.03,54.0,14.29,4.66,69.57
matchedSentence_Syn_out_percent,51.27,72.0,18.37,6.84,91.3
