videoFile,groundTruthWords,predictedWords,Noun,Adverb,Adjective,Verb,Pointers,others,woodward,swadesh
signer0_sample145_color.mp4,['light'],"['AREA' 'BIG' 'BRITAIN' 'CLOTHES' 'FOREIGN' 'FUTURE' 'GO' 'MOVE'
 'PREGNANT']",['light'],[],[],[],[],[],[],[]
signer0_sample378_color.mp4,['oven'],['ANGRY' 'CLOTHES' 'EVALUATE' 'EXPLAIN' 'OFFER' 'PLAY' 'SCALES'],[],['oven'],[],[],[],[],[],[]
signer0_sample346_color.mp4,['umbrella'],"['AREA' 'ARRANGE' 'BELFAST' 'BRITAIN' 'CHILD' 'FOREIGN' 'FUTURE' 'LOW'
 'SPREAD' 'TALL']",['umbrella'],[],[],[],[],[],[],[]
signer0_sample1044_color.mp4,['sister'],"['BAD' 'BEDROOM' 'BOY' 'BRITAIN' 'CHILD' 'DEAF' 'EASY' 'FOREIGN' 'GO'
 'HEAR' 'LOOK' 'LOW' 'MAYBE' 'NOTHING' 'OLD' 'PEOPLE' 'PERFECT' 'REMEMBER'
 'SAY' 'SCHOOL' 'SETTLE']",['sister'],[],[],[],[],[],['sister'],[]
signer0_sample1279_color.mp4,['elephant'],"['AREA' 'ARRANGE' 'AUDIENCE' 'BEACH' 'BELFAST' 'BIG' 'BRITAIN' 'CHAIR'
 'SPREAD' 'UNIT']",['elephant'],[],[],[],[],[],[],[]
signer0_sample1247_color.mp4,['bed'],"['AREA' 'ARRANGE' 'AUDIENCE' 'BIG' 'CARAVAN' 'EXPAND' 'FLOCK' 'GESTURE'
 'GROUP' 'MANY' 'QUIET' 'SPREAD' 'STADIUM' 'UNIT']",['bed'],[],[],[],[],[],[],[]
signer0_sample1143_color.mp4,['we'],"['ARRANGE' 'AUDIENCE' 'BIG' 'CLOTHES' 'EXPAND' 'FLOCK' 'FREE' 'LONELY'
 'LUGGAGE' 'RAIN' 'RELAX' 'ROOM' 'SNOOKER' 'SPREAD' 'SWIM']",[],[],[],[],['we'],[],[],['we']
signer0_sample299_color.mp4,['meal'],"['AREA' 'BRITAIN' 'CHILD' 'DECREASE' 'ENOUGH' 'ETHNIC' 'LOW' 'PAST'
 'PLENTY' 'RELAX' 'SINCE' 'TOUCH']",['meal'],[],[],[],[],[],[],[]
signer0_sample1340_color.mp4,['inform'],"['ARRANGE' 'AUDIENCE' 'BEDROOM' 'BIG' 'BRITAIN' 'EXPAND' 'FLOCK' 'FOREIGN'
 'HOTEL' 'INFORM' 'LONELY' 'LOW' 'LUGGAGE' 'MOVE' 'RAIN' 'SHEET' 'SPREAD'
 'SUN' 'TALL' 'UNIT']",['inform'],[],[],[],[],[],[],[]
signer0_sample241_color.mp4,['request'],['AREA' 'BORING' 'ENOUGH' 'LOW' 'PLENTY' 'TOUCH' 'WATER' 'WOW'],['request'],[],[],[],[],[],[],[]
signer0_sample323_color.mp4,['labor'],"['AREA' 'ARRANGE' 'BIG' 'BRITAIN' 'GESTURE' 'LOW' 'MAYBE' 'RAIN' 'TALL'
 'TIRED']",['labor'],[],[],[],[],[],[],[]
