videoFile,groundTruthWords,predictedWords,Noun,Adverb,Adjective,Verb,Pointers,others,woodward
ira_39.mp4,[],"['AMERICA' 'AREA' 'BORN' 'BREATHE' 'BRITAIN' 'CHAIR' 'CHILD' 'CLOTHES'
 'COUSIN' 'DAUGHTER' 'DECREASE' 'DRINK' 'ESCAPE' 'EXCITED' 'EXPERIENCE'
 'FACE' 'FIRST' 'FLOCK' 'FOREIGN' 'FRIGHTENED' 'FUTURE' 'GOOD' 'HOT'
 'KNOW' 'LAUGH' 'LINK' 'LIVE' 'LOOK' 'LOW' 'MEAL' 'MEANING' 'MIX' 'MOVE'
 'NEW' 'NIGHT' 'PAST' 'PLAN' 'POOR' 'READY' 'RELATIONSHIP' 'RELAX' 'SINCE'
 'SPEECH' 'STILL' 'SURPRISE' 'THINK' 'TIRED' 'TOP' 'TOUCH' 'WANT']",[],[],[],[],[],[],[]
ira_11.mp4,['N' 'NN' 'Yes' 'ask' 'emotion' 'handle' 'sense'],"['ADULT' 'ANGRY' 'ARRANGE' 'BEACH' 'BODY' 'BREATHE' 'BRING' 'CHAIR'
 'CHILD' 'CLOTHES' 'CONTINUE' 'DELIVER' 'DIRTY' 'DISAPPEAR' 'EMOTION'
 'EMPTY' 'FINISH' 'FLOCK' 'FREE' 'GIVE' 'HEALTHY' 'HEAVY' 'LIKE' 'LIVE'
 'LOOK' 'LOSE' 'LOW' 'MANAGE' 'MOVE' 'PANIC' 'PERSON' 'PREGNANT' 'PUSH'
 'RAIN' 'READY' 'RELAX' 'SAY' 'SCALES' 'SETTLE' 'SNOOKER' 'SPREAD'
 'SURPRISE' 'TEACH' 'TENT' 'TIDY' 'TIRED' 'UPWARD' 'WALK' 'WRITE']","['N', 'NN', 'ask', 'emotion', 'handle', 'sense']",[],[],[],[],['Yes'],[]
ira_10.mp4,['Name' 'accept' 'body' 'emotion' 'put' 'remind' 'search' 'select' 'us'],"['ACT' 'ANGRY' 'AREA' 'ARRANGE' 'BELFAST' 'BODY' 'BREATHE' 'CHAIR'
 'CLOTHES' 'DEAF' 'DISCUSS' 'DOOR' 'ENOUGH' 'ESCAPE' 'EXCITED' 'EXPAND'
 'FINISH' 'FLOCK' 'FREE' 'FRIGHTENED' 'GOOD' 'HEALTHY' 'INVOLVE' 'KNOW'
 'LAPTOP' 'LOOK' 'LOW' 'PANIC' 'POOR' 'PRACTISE' 'READY' 'RELAX' 'SCALES'
 'SETTLE' 'SHOULDER' 'SPREAD' 'SURPRISE' 'TEACH' 'TENT' 'THINK' 'TIRED'
 'UPWARD' 'WANT' 'WITHOUT']","['Name', 'accept', 'body', 'emotion', 'put', 'remind', 'search', 'select']",[],[],[],['us'],[],[]
ira_38.mp4,[],"['ACT' 'ADULT' 'AREA' 'CONTINUE' 'ESCAPE' 'FINISH' 'FLOCK' 'FREE' 'LONDON'
 'MORNING' 'READY' 'SHOUT' 'SINCE' 'SPEECH' 'SPREAD' 'TEACH' 'TOUCH'
 'UPWARD' 'WALK' 'WRITE']",[],[],[],[],[],[],[]
ira_12.mp4,['N' 'NN' 'Yes' 'excuse' 'handle'],"['ARRANGE' 'ARRIVE' 'BORN' 'CHAIR' 'CHILD' 'CLOTHES' 'COLLECT' 'COMPUTER'
 'DIRTY' 'EMPTY' 'FINISH' 'FLOCK' 'LOSE' 'LOW' 'PANIC' 'PAY' 'PLAY'
 'SETTLE' 'TEACH' 'TIDY' 'TOILET' 'UPWARD' 'WRITE']","['N', 'NN', 'excuse', 'handle']",[],[],[],[],['Yes'],[]
ira_13.mp4,['around' 'emotion' 'excuse' 'good' 'hard' 'sense' 'weather'],"['ALRIGHT' 'ANGRY' 'BABY' 'BORN' 'BREATHE' 'CLOTHES' 'COUSIN' 'DEAF'
 'DISCUSS' 'DOCTOR' 'DRINK' 'EMOTION' 'ENDURE' 'EXPECT' 'GOOD' 'HEALTHY'
 'HEAR' 'HEAVY' 'HELP' 'IRELAND' 'KNOW' 'LAPTOP' 'LOVE' 'MORNING' 'POLICE'
 'POOR' 'PREGNANT' 'PROBLEM' 'READY' 'REMEMBER' 'RUN' 'SIT' 'SLEEP' 'SLOW'
 'STRONG' 'STUPID' 'SURPRISE' 'THEATRE' 'THINK' 'TIME' 'TIRED' 'TOILET'
 'TRAIN' 'UNDERSTAND' 'WANT' 'WRITE']","['emotion', 'excuse', 'sense', 'weather']",[],"['good', 'hard']",[],[],['around'],['good']
ira_17.mp4,['control' 'emotion' 'miss' 'understand'],"['ALWAYS' 'ANGRY' 'ARRANGE' 'BEDROOM' 'BODY' 'BOY' 'BREATHE' 'CLOTHES'
 'COLD' 'CONTROL' 'CRUEL' 'DEAF' 'DELIVER' 'DISAPPEAR' 'EMOTION' 'ENOUGH'
 'EXPECT' 'HEALTHY' 'HEAR' 'KNOW' 'LOSE' 'LOVELY' 'LOW' 'MAN' 'NICE'
 'NUMBER' 'PLENTY' 'PREFER' 'PREGNANT' 'READY' 'RELAX' 'REMEMBER' 'SAY'
 'SNOOKER' 'SURPRISE' 'TALL' 'THINK' 'TIRED' 'TOILET' 'WANT' 'WRITE']","['control', 'emotion', 'miss', 'understand']",[],[],[],[],[],[]
ira_16.mp4,['growing' 'mother' 'tell' 'understand'],"['ARRANGE' 'BORING' 'BOY' 'CHAIR' 'CHILD' 'ENOUGH' 'ETHNIC' 'EXPAND'
 'FAMILY' 'LONELY' 'LOW' 'MAYBE' 'MORNING' 'MOVE' 'PANIC' 'PAST' 'PLENTY'
 'RELAX' 'SCHOOL' 'SETTLE' 'SPREAD' 'TOUCH' 'UNIT']","['mother', 'tell', 'understand']",[],[],['growing'],[],[],['mother']
ira_9.mp4,"['P-U-B-E-R-T-A-D' 'age' 'body' 'candy' 'change' 'emotion' 'sense' 'ten'
 'weather' 'within']","['ANGRY' 'AREA' 'BABY' 'BAD' 'BECKON' 'BODY' 'BREATHE' 'CHAIR' 'CHILD'
 'CHRISTMAS' 'CLOTHES' 'COVER' 'DEAF' 'DIRTY' 'DISCUSS' 'DOG' 'EMOTION'
 'EMPTY' 'ENDURE' 'ESCAPE' 'FINISH' 'KNOW' 'LIKE' 'LONG' 'LOOK' 'LOVE'
 'LOW' 'MAYBE' 'MORNING' 'MOTHER' 'PAST' 'PERSON' 'POLICE' 'PREGNANT'
 'PROBLEM' 'PUSH' 'READY' 'RELAX' 'RICH' 'RIGHT' 'SAY' 'SETTLE' 'SINCE'
 'SLOW' 'SURPRISE' 'TIDY' 'TIME' 'TIRED' 'TOILET' 'TOUCH' 'TRAIN' 'WANT'
 'WONDERFUL' 'WRITE' 'YES']","['P-U-B-E-R-T-A-D', 'age', 'body', 'candy', 'change', 'emotion', 'sense', 'ten', 'weather']",[],[],[],[],['within'],[]
ira_14.mp4,"['N' 'NN' 'agreement' 'anger' 'brother' 'comply' 'first' 'friend' 'play'
 'rule' 'think']","['ACT' 'AGE' 'AMERICA' 'AREA' 'BABY' 'BEST' 'BICYCLE' 'BODY' 'BORING'
 'BORN' 'BREATHE' 'BRITAIN' 'BUILD' 'CHAIR' 'CHANGE' 'CHILD' 'CLOTHES'
 'COME' 'COMMUNICATE' 'COMMUNITY' 'CONTINUE' 'DEAF' 'DECIDE' 'DIRTY'
 'DISCUSS' 'DRINK' 'EMPTY' 'ESCAPE' 'EXPECT' 'FARM' 'FEEL' 'FLOCK' 'FULL'
 'GIRL' 'GIVE' 'GROUP' 'HAPPY' 'HEALTHY' 'HEARING' 'HOUSE' 'IRELAND'
 'LAUGH' 'LINK' 'LOOK' 'LOVELY' 'LOW' 'MANAGE' 'MANCHESTER' 'MEANING'
 'MEETING' 'MIX' 'MORNING' 'MOTHER' 'MOVE' 'NAME' 'NEVER' 'NEXT' 'OLD'
 'PARK' 'PEOPLE' 'PLEASE' 'PREGNANT' 'PRESIDENT' 'READY' 'RELAX' 'RUN'
 'SAY' 'SELF' 'SIGN' 'SLEEP' 'SLOW' 'STRANGE' 'SURPRISE' 'TAKE' 'TEACH'
 'TEMPT' 'TENT' 'TERRIFIED' 'THANK' 'THINK' 'TIDY' 'TIRED' 'TOILET'
 'UNDERSTAND' 'USE' 'WALK' 'WANT' 'WATER' 'WONDER' 'WONDERFUL' 'WRITE']","['N', 'NN', 'agreement', 'anger', 'brother', 'comply', 'friend', 'play', 'rule', 'think']",['first'],[],[],[],[],"['brother', 'play']"
