,videoFileName,totalWords,totalNoun,totalConj,totalAdj,totalVerbs,totalAdv,totalPoi,totalMisce,totalWood,totalSwadesh,matchedWords_noSyn,matchedNoun_noSyn,matchedConj_noSyn,matchedAdj_noSyn,matchedVerbs_noSyn,matchedAdv_noSyn,matchedPoi_noSyn,matchedMisce_noSyn,matchedWood_noSyn,matchedSwadesh_noSyn,matchedSentence_noSyn,matchedWords_Syn,matchedNoun_Syn,matchedConj_Syn,matchedAdj_Syn,matchedVerbs_Syn,matchedAdv_Syn,matchedPoi_Syn,matchedMisce_Syn,matchedWood_Syn,matchedSwadesh_Syn,matchedSentence_Syn,matchedWords_Syn_out,matchedNoun_Syn_out,matchedConj_Syn_out,matchedAdj_Syn_out,matchedVerbs_Syn_out,matchedAdv_Syn_out,matchedPoi_Syn_out,matchedMisce_Syn_out,matchedWood_Syn_out,matchedSwadesh_Syn_out,matchedSentence_Syn_out
0,FZCF7kPIyOk_12-1-rgb_front.mp4,7,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,,0,1,0,0,0,0,0,1
0,92V3oH63zbQ_23-1-rgb_front.mp4,14,3,0,3,7,0,0,1,1,2,2,0,0,1,0,0,0,1,0,0,1,4,0,0,1,2,0,0,1,0,0,1,6,1,,1,3,0,0,1,0,0,1
0,-fZc293MpJk_5-1-rgb_front.mp4,11,5,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,1,0,0,0,0,0,1
0,FZrU_mEryAs_6-2-rgb_front.mp4,7,4,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,2,1,,0,1,0,0,0,0,0,1
0,37ZtKNf6Yd8_1-1-rgb_front.mp4,6,4,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,,0,0,0,0,1,0,0,1
0,-g45vqccdzI_3-1-rgb_front.mp4,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,,0,1,0,0,0,0,0,1
0,FZd8Iv9ACVw_7-8-rgb_front.mp4,7,3,0,0,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,1,1,2,1,,0,1,0,0,0,0,1,1
0,FZLxEwsoc1c_0-8-rgb_front.mp4,8,5,0,1,2,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,4,1,0,1,2,0,0,0,0,0,1,4,1,,1,2,0,0,0,0,0,1
0,-g0iPSnQt6w_1-1-rgb_front.mp4,7,2,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,,0,1,0,0,1,0,0,1
0,92V3oH63zbQ_16-1-rgb_front.mp4,5,2,0,1,2,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,3,1,0,1,1,0,0,0,0,0,1,3,1,,1,1,0,0,0,0,0,1
