videoFile,groundTruthWords,predictedWords,SwadeshWords,matchedSwadeshWords,unmatchedSwadeshWords,WoodWords,matchedWoodWords,unmatchedWoodWords
aus_9.mp4,"[',' '.' 'boy' 'got' 'ground' 'jar' 'quickly' 'shattered' 'window']","['BECKON' 'BREAK' 'BRING' 'CARPENTER' 'COLD' 'DRIVE' 'DROP' 'FALL' 'GOOD'
 'GRAB' 'HOME' 'LEG' 'LOOK' 'LOW' 'MOTORBIKE' 'MOVE' 'PAY' 'REMOVE'
 'RIGHT' 'RUN' 'SAY' 'SNOOKER' 'SUN' 'TRAIN' 'VANISH']",[],[],[],[],[],[]
aus_16.mp4,"['(' ')' ',' '.' 'away' 'boy' 'break' 'burrow' 'got' 'narrator' 'rodent'
 'smelt' 'squirrel' 'thinks' 'went' 'wind']","['ADULT' 'BACK' 'DANCE' 'DECORATE' 'FALL' 'FIND' 'FLOCK' 'FULL' 'GO'
 'HARD' 'HISTORY' 'HOME' 'KNOW' 'LONELY' 'LOOK' 'LOVELY' 'NIGHT' 'ONE'
 'PLAN' 'RAIN' 'RELAX' 'SATURDAY' 'SAY' 'SELF' 'SHOULDNT' 'SIT' 'STAND'
 'TALL' 'TELEVISION' 'THINK' 'TOMORROW' 'TWO' 'WALK']",[],[],[],['wind'],[],['wind']
aus_17.mp4,"[',' '.' 'attacked' 'big' 'boy' 'close' 'frog' 'got' 'hole' 'look' 'one'
 'owl' 'saw' 'thought' 'took' 'tree' 'trunk']","['ADULT' 'AVOID' 'BEST' 'BRIEF' 'CEILING' 'CHAIR' 'EIGHT' 'ESCAPE'
 'FAVOUR' 'FIRST' 'GESTURE' 'GOALKEEPER' 'GOOD' 'GRAB' 'INCREASE' 'KNOW'
 'LEAGUE' 'MAN' 'MANY' 'MIX' 'NEXT' 'PARTY' 'RAIN' 'REGULAR' 'SATURDAY'
 'SHOUT' 'SURROUNDINGS' 'TALL' 'TEACH' 'THINK' 'TOP' 'UNDERSTAND' 'VANISH'
 'YES']","['big', 'one', 'saw', 'tree']","['big', 'saw']","['one', 'tree']",['tree'],[],['tree']
aus_8.mp4,"[',' '.' 'dog' 'fell' 'ground' 'head' 'jar' 'jumped' 'stuck' 'windowsill']","['ADD' 'ANYWAY' 'AUDIENCE' 'BIG' 'BOAT' 'CHILD' 'DISAPPEAR' 'DOOR'
 'ENGLAND' 'EXPAND' 'GESTURE' 'GIVE' 'GRAB' 'LONELY' 'LOOK' 'OPEN' 'PLUS'
 'PREGNANT' 'RAIN' 'SAY' 'SURPRISE' 'UNIT' 'WALK' 'WOW' 'YEAR']","['dog', 'head']",[],"['dog', 'head']",['dog'],[],['dog']
aus_15.mp4,"[',' '.' 'around' 'boy' 'burrow' 'closer' 'frog' 'look' 'looking' 'might'
 'saw' 'thought' 'took']","['BIG' 'BOY' 'DEAF' 'EXPAND' 'FALL' 'GROUP' 'HEARING' 'LONDON' 'LOOK'
 'LOW' 'LUCK' 'MEAL' 'NAME' 'OLD' 'RED' 'SAY' 'SLEEP' 'SPECTACLES' 'THINK'
 'TWO' 'VISIT' 'WALK' 'YESTERDAY']",['saw'],['saw'],[],[],[],[]
aus_14.mp4,['.' 'bees' 'dog' 'hive' 'swarmed' 'tree' 'walked'],"['ADD' 'AGES' 'ALLOW' 'BECKON' 'CAD' 'CEILING' 'CURTAINS' 'DEAF' 'ESCAPE'
 'FLOCK' 'FOREIGN' 'GRAB' 'HOTEL' 'LONDON' 'LOOK' 'MOVE' 'NOTHING' 'PARTY'
 'PERFECT' 'PICTURE' 'SAY' 'SEPARATE' 'SHOUT' 'SNOOKER' 'SPREAD' 'SUN'
 'THINK' 'TOUCH' 'VANISH']","['dog', 'tree', 'walked']",['dog'],"['tree', 'walked']","['dog', 'tree']",['dog'],['tree']
aus_10.mp4,"[',' '.' 'boy' 'checked' 'frog' 'inside' 'might' 'nothing' 'put' 'putting'
 'shoes' 'thought']","['ANYWAY' 'BABY' 'BACK' 'BECKON' 'BEST' 'BETTER' 'BOAT' 'BOY' 'BROWN'
 'CARPENTER' 'CHAIR' 'CHILD' 'CLOTHES' 'DEAF' 'DELIVER' 'DIG' 'DISAPPEAR'
 'ENGLAND' 'ESCAPE' 'EXCLUDE' 'FALL' 'FINISH' 'FRIEND' 'GIVE' 'GO' 'GOOD'
 'HARD' 'HEARING' 'HOME' 'INATTENTION' 'KNOW' 'LEG' 'LOOK' 'LOW' 'MERGE'
 'MOVE' 'NAME' 'PAY' 'PROBLEM' 'REMEMBER' 'RIGHT' 'SAY' 'SISTER' 'SLEEP'
 'SLOW' 'SNOOKER' 'STRESS' 'SWIM' 'THEATRE' 'THINK' 'TIME' 'TOILET' 'UNIT'
 'WANT']",[],[],[],[],[],[]
aus_11.mp4,['.' 'put'],['ARRANGE' 'LONELY' 'PANIC' 'SIT' 'SNOOKER' 'SWIM' 'WALK'],[],[],[],[],[],[]
aus_13.mp4,"[',' '.' 'bands' 'beehive' 'dog' 'dome-shaped' 'hanging' 'honey' 'looked'
 'outlined' 'tree' 'whilst' 'yelled']","['ACCOMMODATION' 'ADD' 'ADULT' 'AUDIENCE' 'BEDROOM' 'BIG' 'BOOK' 'BOY'
 'CARAVAN' 'CEILING' 'CURTAINS' 'DISAPPEAR' 'DISCUSS' 'DOCTOR' 'EASY'
 'EMIT' 'EXPLAIN' 'FOREIGN' 'FUTURE' 'GESTURE' 'GIVE' 'GO' 'GOOD'
 'IMAGINE' 'LATER' 'LEARN' 'LINK' 'LONDON' 'LOOK' 'MANY' 'MARRY' 'MISS'
 'MONDAY' 'ONE' 'PLAN' 'RED' 'RELATIONSHIP' 'ROOM' 'SATURDAY' 'SAY' 'SIGN'
 'TEMPT' 'TENT' 'TITLE' 'TOMORROW' 'UPWARD' 'WALK' 'WORK']","['dog', 'tree']",[],"['dog', 'tree']","['dog', 'tree']",[],"['dog', 'tree']"
aus_12.mp4,"[',' '.' 'around' 'athe' 'back' 'described' 'flandland' 'hillside' 'house'
 'hunt' 'nearby' 'short' 'sighted' 'vast' 'walk' 'wooded']","['AMERICA' 'AREA' 'ARRANGE' 'AUDIENCE' 'BALL' 'BEACH' 'BELFAST' 'BIG'
 'CARAVAN' 'CEILING' 'CHAIR' 'CHILD' 'COMMUNICATE' 'DEAF' 'DISCUSS' 'DROP'
 'ESCAPE' 'EXPLAIN' 'FLOCK' 'GIVE' 'GO' 'HOUSE' 'LEFT' 'LOW' 'MANY' 'MIX'
 'MOVE' 'PANIC' 'PENCE' 'RELAX' 'ROOM' 'SIT' 'SLEEP' 'SPREAD' 'TALL'
 'TENT' 'VIEW' 'VISIT' 'WALK' 'WIDTH']",['walk'],['walk'],[],"['hunt', 'short']",[],"['hunt', 'short']"
