videoFile,groundTruthWords,predictedWords,SwadeshWords,matchedSwadeshWords,unmatchedSwadeshWords,WoodWords,matchedWoodWords,unmatchedWoodWords
aus_9.mp4,"[',' '.' 'Finally' 'breaks' 'glass' 'ground' 'hits' 'jar']","['BECKON' 'BORN' 'BOWLING' 'CARPENTER' 'CHILD' 'COLLECT' 'CONTROL' 'LEARN'
 'NEWSPAPER' 'NOTHING' 'RECEIVE' 'REMOVE' 'SIGN' 'SLEEP' 'SUN' 'TICKET'
 'TRAIN3b' 'WATER']",[],[],[],[],[],[]
aus_16.mp4,"[',' '.' 'anything' 'back' 'boy' 'bucks' 'ca' 'deer' 'drop' ""n't"" 'pond'
 'runs']","['BEST' 'BETTER' 'BORROW' 'BOY' 'CHAIR' 'CHILD' 'DROP' 'ESCAPE' 'FALL'
 'FOREIGN' 'FULL' 'FUTURE' 'GO' 'GRAB' 'HARD' 'HELP' 'LINK' 'LOOK' 'MAN'
 'MOVE' 'REMEMBER' 'RIGHT' 'SATURDAY' 'SAY' 'SHOUT' 'SISTER' 'SPEECH'
 'SUN' 'TALL' 'WALK']",[],[],[],[],[],[]
aus_17.mp4,['.' 'dog' 'jumps' 'water'],['BAD' 'CHILD' 'FALL' 'FLOCK' 'GO' 'LEG' 'LOW' 'SWIM' 'TICKET' 'TOUCH'],"['dog', 'water']",[],"['dog', 'water']","['dog', 'water']",[],"['dog', 'water']"
aus_8.mp4,"[',' '.' 'break' 'dog' 'falls' 'head' 'jar' 'manages' 'window']","['ARRANGE' 'BIG' 'CAD' 'DISAPPEAR' 'EVERYTHING' 'FALL' 'GIVE' 'GOOD'
 'GROUP' 'HELP' 'LINK' 'RELATIONSHIP' 'REMOVE' 'SLEEP' 'SMALL']","['dog', 'head']",['dog'],['head'],['dog'],['dog'],[]
aus_15.mp4,"[""'s"" ',' '.' 'actually' 'boy' 'climbs' 'deer' 'looks' 'onto' 'realises'
 'rock' 'running' 'side' 'sitting' 'takes']","['ACCOMMODATION' 'ADULT' 'ESCAPE' 'EXTRACT' 'FALL' 'FLOCK' 'GESTURE' 'GO'
 'GRAB' 'HOTEL' 'LOOK' 'MEET' 'RAIN' 'READ' 'ROLL' 'SHOUT' 'SITTING'
 'SLEEP' 'SPEECH' 'SUN' 'WALK' 'WORRY']",['sitting'],['sitting'],[],[],[],[]
aus_14.mp4,"[""'s"" ',' '.' 'across' 'along' 'big' 'comes' 'going' 'rock' 'searching']","['ALWAYS' 'BOY' 'CHILD' 'CONTINUE' 'FALL' 'FLOCK' 'GOOD' 'HOUSE' 'LOOK'
 'LOW' 'MAN' 'OLD' 'RAIN' 'READ' 'SAY' 'SIT' 'SLEEP' 'STAY' 'TALL'
 'TICKET' 'TOMORROW' 'WAIT' 'WALK']","['big', 'comes']",['comes'],['big'],[],[],[]
aus_10.mp4,"[""'s"" ',' '.' 'boy' 'calling' 'disappeared' 'frog' 'high' 'keeps' 'low'
 'searching']","['ARRANGE' 'ASK' 'BECKON' 'BIG' 'BREATHE' 'COLLECT' 'DISAPPEAR' 'DRINK'
 'ENOUGH' 'FALL' 'FLOCK' 'GO' 'GROUP' 'LOOK' 'PLAY' 'PUSH' 'READY'
 'RETIRE' 'SIGN' 'SLEEP' 'SMALL' 'SPEECH' 'SURPRISE' 'TEA' 'TICKET'
 'TOUCH' 'WALK' 'WATER' 'WITHOUT']",[],[],[],[],[],[]
aus_11.mp4,"[""'s"" ',' '.' 'gets' 'hole' 'idea' 'looking' 'nearby' 'tree' 'trunk']","['ARRANGE' 'BALL' 'BIG' 'DAMAGE' 'DISAPPEAR' 'EXPAND' 'FIRE' 'FLOCK'
 'GESTURE' 'GO' 'HAPPY' 'LINK' 'MEANING' 'RAIN' 'SIGN' 'SLEEP'
 'SPECTACLES' 'TALL' 'TRUE' 'WANT']",['tree'],[],['tree'],['tree'],[],['tree']
aus_13.mp4,"[',' '.' 'along' 'bees' 'behind' 'chased' 'cloud' 'gets' 'running' 'whole']","['CARPENTER' 'COLLECT' 'ENGLAND' 'FALL' 'GO' 'LOOK' 'SLEEP' 'STAND'
 'TICKET' 'TOILET' 'TRY' 'WALK' 'YEAR']",['cloud'],[],['cloud'],[],[],[]
aus_12.mp4,"[',' '.' 'angry' 'boy' 'bursts' 'climbs' 'frog' 'might' ""n't"" 'owl'
 'peers' 'scares' 'thought']","['AMERICA' 'ANGRY' 'BIG' 'BREATHE' 'CHAIR' 'EXPAND' 'FALL' 'FINISH' 'FIRE'
 'FLOCK' 'FREE' 'GESTURE' 'GO' 'GROUP' 'HAPPY' 'LINK' 'LOSE' 'MEANING'
 'MINUTE' 'MOTHER' 'MUST' 'NOTHING' 'PUSH' 'QUEUE' 'QUIET' 'RAIN' 'READY'
 'RELATIONSHIP' 'RELAX' 'REMOVE' 'SIGN' 'SLEEP' 'SUN' 'SURPRISE' 'TALL'
 'TEACH' 'TOUCH' 'VANISH' 'WALK' 'WANT' 'WOW']",[],[],[],[],[],[]
